,Nombre,Anterior,Último,% Dif.,Máximo,Mínimo,Fecha,Hora,"% Dif.
Año 2021"
68,Índice BBVA Apalancado X5,"662,50","585,40","-11,64","604,00","566,30",01/10/2021,09:30:22,"133,32"
69,Índice ITX Apalancado X5,"341,50","327,50","-4,10","328,10","314,70",01/10/2021,09:30:15,"74,39"
70,Índice TEF Inverso X3,"938,40","973,10","3,70","976,50","945,60",01/10/2021,09:30:23,"-70,79"
71,Índice SAN Inverso X3,"44,90","47,60","6,01","49,00","47,30",01/10/2021,09:30:23,"-69,13"
72,Índice BBVA Inverso X3,"35,60","38,10","7,02","38,70","37,50",01/10/2021,09:30:22,"-80,67"
73,Índice ITX Inverso X3,"178,70","183,00","2,41","187,00","182,80",01/10/2021,09:30:15,"-64,24"
74,Índice TEF Inverso X5,"13,30","14,10","6,02","14,20","13,50",01/10/2021,09:30:23,"-90,51"
75,Índice SAN Inverso X5,"4.621,30","5.081,60","9,96","5.317,30","5.033,70",01/10/2021,09:30:23,"542,50"
76,Índice BBVA Inverso X5,"9.005,70","10.045,70","11,55","10.305,70","9.793,70",01/10/2021,09:30:22,"51,12"
77,Índice ITX Inverso X5,"955,90","994,20","4,01","1.030,20","992,70",01/10/2021,09:30:15,"-85,91"
